time,input_aIL6R,input_aIL1A,input_aIL1B,input_aTNFA,input_aIL1R,input_aIL10R,input_IFNG,TNFA_mfi,TNFA_mfi_std,IL1A_mfi,IL1A_mfi_std,IL1B_mfi,IL1B_mfi_std,IL6_mfi,IL6_mfi_std,IL10_mfi,IL10_mfi_std,p19_mfi,p19_mfi_std
16,1,1,0,1,1,1,0,0.193634075,1,0.136042864,1,0.170151317,1,0.063257127,1,0.04132897,1,0.001953109,1
16,1,1,0,1,1,1,0,0.210082523,1,0.181997592,1,0.258233214,1,0.107132166,1,0.113367145,1,0.00421804,1
16,1,1,0,1,1,1,0,0.097524986,1,0.1224486,1,0.17117987,1,0.046879389,1,0.032888573,1,0.001725415,1
16,1,1,0,1,1,1,0,0.046656862,1,0.275634976,1,0.349701988,1,0.258589048,1,0.328253597,1,0.002121834,1
16,1,1,0,1,1,1,0,0.065785012,1,0.291724283,1,0.362704044,1,0.246833079,1,0.349229954,1,0.00207322,1
16,1,1,0,1,1,1,0,0.038216705,1,0.146796275,1,0.213558334,1,0.084449067,1,0.060187767,1,0.001568768,1
16,1,1,0,1,1,1,0,0.034573591,1,0.258345349,1,0.335449072,1,0.266779749,1,0.349418262,1,0.00316872,1
16,1,1,0,1,1,1,0,0.061677625,1,0.416339869,1,0.445046325,1,0.359151641,1,0.198857181,1,0.015474258,1
16,1,1,0,1,1,1,0,0.069078224,1,0.297099986,1,0.352113376,1,0.204711726,1,0.067499589,1,0.014940843,1
16,1,1,0,1,1,1,0,0.181759931,1,0.199843585,1,0.244468327,1,0.094434683,1,0.058574586,1,0.006618127,1
16,1,1,0,1,1,1,0,0.155538263,1,0.229386211,1,0.282961917,1,0.163734375,1,0.219851457,1,0.007418558,1
16,1,1,0,1,1,1,0,0.205882684,1,0.209728608,1,0.24887351,1,0.096792406,1,0.06428857,1,0,1
16,1,1,0,1,1,1,0,0.031444099,1,0.103934948,1,0.150895842,1,0.020580993,1,0.045544877,1,0,1
16,1,1,0,1,1,1,0,0.171973388,1,0.130174826,1,0.223545896,1,0.051600749,1,0.055442157,1,0.005653865,1
16,1,1,0,1,1,1,0,0.159954668,1,0.17287012,1,0.20535194,1,0.081869042,1,0.034983174,1,0.00195521,1
16,1,1,0,1,1,1,0,0.218096755,1,0.17513259,1,0.216112312,1,0.083894888,1,0.079336139,1,0.014775669,1
16,1,1,1,0,1,1,0,0.130056005,1,0.242888407,1,0.285140753,1,0.249808073,1,0.160755218,1,0.006383316,1
16,1,1,1,0,1,1,0,0.330723111,1,0.127444415,1,0.16695171,1,0.129236225,1,0.112190139,1,0.012068485,1
16,1,1,1,0,1,1,0,0.205794439,1,0.169194372,1,0.211807056,1,0.182729225,1,0.221933606,1,0.006313582,1
16,1,1,1,0,1,1,0,0.152443972,1,0.160413825,1,0.229354146,1,0.244720948,1,0.224397585,1,0.012236013,1
16,1,1,1,0,1,1,0,0.062325879,1,0.302797934,1,0.367067206,1,0.331857189,1,0.51283223,1,0.012571695,1
16,1,1,1,0,1,1,0,0.098333234,1,0.324354841,1,0.3924778,1,0.322025637,1,0.43981045,1,0.00913061,1
16,1,1,1,0,1,1,0,0.093654498,1,0.256813306,1,0.344262648,1,0.300848338,1,0.349822258,1,0.005309375,1
16,1,1,1,0,1,1,0,0.038015703,1,0.259661054,1,0.314176117,1,0.278767387,1,0.390339252,1,0.004898505,1
16,1,1,1,0,1,1,0,0.18554479,1,0.425167246,1,0.425359637,1,0.388203044,1,0.307004323,1,0.038444904,1
16,1,1,1,0,1,1,0,0.07923306,1,0.410298631,1,0.457664076,1,0.396169587,1,0.269289024,1,0.039843769,1
16,1,1,1,1,0,1,0,0.060535099,1,0.167564651,1,0.203822147,1,0.100041063,1,0.021693503,1,0,1
16,1,1,1,1,0,1,0,0.248369135,1,0.061271704,1,0.103315805,1,0.032285559,1,0.014242599,1,0.003043698,1
16,1,1,1,1,0,1,0,0.173076291,1,0.135204053,1,0.205969045,1,0.039049782,1,0.055603946,1,0.000833233,1
16,1,1,1,1,0,1,0,0.166673665,1,0.060289152,1,0.101172398,1,0.04186546,1,0.016163204,1,0.001701356,1
16,1,1,1,1,0,1,0,0.004473841,1,0.170356158,1,0.211973555,1,0.076382644,1,0.039434585,1,0.000373638,1
